Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-VD-AA8T-01,0.17228701812965272,0,0.00116585926021483,0.05156771205578755,0,0.08292597860604696,0,0.03263344894786979,0.051854272976597414,0,0.021780376111728096,0,0.005092436346525114,0.07861359311010965,0.012870040292140903,0.48920926416332694,0,0,0,0,0,0,0.53,0.019902975601901903,1.105489419556696
TCGA-WC-A87T-01,0.20050212135702325,0,0.1436006366951835,0.010063929493222074,0,0.03003624535000111,0,0.032573911057447974,0,0,0,0.04250538703043271,0,0,0,0.4963696755510425,0,0,0.044348093465646915,0,0,0,0.29,0.051730701502746806,1.0761347062805648
TCGA-WC-A87U-01,0.06946375129696906,0,0.0645809352362766,0.02958001187811691,0,0.0438275000399974,0,0.010191889316775537,0,0,0,0.05356963172385685,0.055313590484836125,0,0.012966952405629074,0.586105244430873,0,0,0.07440049318666944,0,0,0,0.56,0.017959944090340043,1.1112096164434808
TCGA-WC-A87W-01,0,0.010373397871840983,0,0,0,0.35720899612847773,0,0.004035754798401871,0.06821415909450831,0,0.09064416048343864,0.013698800855771624,0.04027730896105901,0.1228015659170093,0.004605302611206675,0.03842191683906898,0,0,0.24971863643921688,0,0,0,0.85,-0.0141,1.108983815974067
TCGA-WC-A87Y-01,0.0023082489468389876,0,0.026337826909892198,0.3447357427157068,0,0.01957705959790107,0,0.03962556805676102,0.13735343365047925,0,0,0.04094868359875657,0.04170921844635877,0.08130931196687405,0.0009,0.08147022949776775,0,0,0.1837406412862142,0,0,0,0.59,0.013993036771387265,1.1019451526567339
TCGA-WC-A880-01,0,0.005153687529538656,0,0,0.01057712411812926,0.24580575455828016,0,0.0024867274208911685,0.042033704381477084,0,0.17203829111320273,0,0.0860523448239285,0.07100479345969335,0,0.1486845088068084,0.0002,0,0.2072631856593486,0,0.008745612876283074,0,0.92,-0.0192,1.1018108521329784
TCGA-WC-A881-01,0.08115627270207972,0,0.09442652762193658,0.06032211957483209,0,0.04670267568236163,0,0.04129424963914545,0.015282180141962995,0,0.009664248261723915,0.025749018043648833,0.01138242728334363,0.019850572510565958,0.028575275285832615,0.5312196424980596,0,0,0.03437479075450697,0,0,0,0.12,0.08331426349593056,1.0675757713251055
TCGA-WC-A882-01,0.007977973469401338,0.007205490791826442,0.0029297777043439926,0.02343009402078571,0,0.012054023013983306,0,0.03568886239330888,0.0887552820994472,0,0.016453802205115515,0.009200965578872703,0,0.32770923662424417,0.01776796970780085,0.28613400411046647,0,0,0.15125881212435663,0,0.013433706156046735,0,0.02,0.17252628056695296,1.0483778758310733
TCGA-WC-A883-01,0.002155011619040797,0.004749605989536507,0.02925713706531768,0.012726765087634422,0,0.04437864511946692,0,0.03395217852017728,0.026568331916112083,0,0.03518449030254954,0.006559292960396419,0,0.7398007036215891,0,0.021041831461960394,0,0,0.043626006336218784,0,0,0,0.06,0.10794517667698096,1.1851999200380028
TCGA-WC-A884-01,0.005291294129251572,0,0.007331622573398706,0.06761891205344238,0,0.046367034024707356,0,0.0693300246412841,0.08161362074624358,0,0,0.027112165270410736,0.06478833322464331,0.19192222421942826,0.0035349054577870557,0.2289914275368243,0,0,0.20609843612257858,0,0,0,0.08,0.09905330374174186,1.055036081592582
TCGA-WC-A885-01,0.2087045636095536,0,0.11010761351266594,0.019474912659285727,0,0.017966156180892586,0,0.028506870554663877,0.015240033246950082,0,0,0.009776006888302234,0,0.14237695631676184,0,0.41510087650317307,0,0,0.03274601052775104,0,0,0,0.27,0.055192530184703666,1.0830262989063484
TCGA-WC-A888-01,0.003972885523268123,0.026141236995976987,0.03374786282672025,0.28321282091948236,0,0.042720210152745526,0,0.06548734472455374,0.10929340692449102,0,0,0.06582924668046597,0.03049847488659803,0.09118538500850557,0.07965103075745124,0.10385286900682085,0.0035899617256252934,0,0.06081726386729508,0,0,0,0.04,0.11535623118229348,1.0538167765985336
TCGA-WC-A88A-01,0.07377283361846393,0,0.013679951668108242,0.11548031923850487,0,0.08459266228074515,0,0.006610805313935982,0.012238101614791799,0,0.036260160094800195,0,0,0.12259163476042935,0.032539181614717194,0.4742297268246124,0,0,0.028004622970890916,0,0,0,0.03,0.11733501856510249,1.0623715774730966
TCGA-WC-AA9A-01,0.06365635447029178,0,0.4115395980694277,0,0.08465698773383577,0,0,0.06958773480471618,0,0.0013215254924956834,0.024841107415309677,0.011017232398232983,0,0,0,0.3333794596156902,0,0,0,0,0,0,0.25,0.060299653877378984,1.042806990174089
TCGA-WC-AA9E-01,0.18726428022669,0,0.1528100531359357,0.1728129059456357,0,0.020794109155775,0,0.07984074691878965,0.02392800899549848,0,0.0010493882090384943,0.02850527452869613,0.022002115509755803,0,0.02697894961613404,0.2645080496316238,0,0,0.019506118126427233,0,0,0,0.45,0.030891412743345063,1.0630696966826034
